%Time	air T	T Winkler	T Boone
734334.5417	84.5	66.81045678	72.21
734334.5833	83.4	67.32	73.18
734334.625	86.1	68.31	72.85
734334.6667	82.6	69.96	74.31
734334.7083	80.50000001	71.04	73.76000001
734334.75	80.4	70.51	71.47
734334.7917	78.5	70.82	70.68
734334.8333	74.40000001	69.93	69.27
734334.875	71.9	68.86	68.07
734334.9167	70.1	67.87	67.01
734334.9583	69.7	67	66.27
734335	68.61147541	66.31	65.83
734335.0417	69.3	65.7	65.46
734335.0833	67.8	65.25	65.19
734335.125	71.1	64.81	64.89
734335.1667	67.8	64.52	64.76
734335.2083	67.1	64.23	64.46
734335.25	67.2	63.93	64.19
734335.2917	74	63.63	63.97
734335.3333	81.29999998	63.47	64.13
734335.375	83.3	63.61	64.89
734335.4167	85.8	64.38	66.5
734335.4583	84.7	65.51	68.62999999
734335.5	78.1	66.53	71.29
734335.5417	83.4	67.43	71.89
734335.5833	81.20000001	68.91999999	70.99
734335.625	81.6	69.68	72
734335.6667	82.8	69.89	72.46
734335.7083	81.5	70.81	73.75999999
734335.75	78.6	71.15	73.52
734335.7917	77	70.77	71.5
734335.8333	75.9	70.21	69.88
734335.875	74.6	69.23	68.51
734335.9167	73.7	68.16	67.4
734335.9583	71.90000001	67.26	66.54
734336	69.71639344	66.44	65.95
734336.0417	70.7	65.77	65.57
734336.0833	72.99999999	65.21	65.37
734336.125	72.2	64.8	65.24
734336.1667	72.8	64.53	65.16
734336.2083	73.6	64.33	64.97
734336.25	73.1	64.21	64.89
734336.2917	75.6	64.13	64.79
734336.3333	76.7	64.25	65.07
734336.375	78.3	64.57	65.98
734336.4167	75.8	65.17	67.02
734336.4583	73.90000001	65.62	67.62
734336.5	75.9	66.03	67.63
734336.5417	77.8	66.65	69.6
734336.5833	83.59999998	67.11	71.3
734336.625	80.8	67.96	71.72
734336.6667	80.1	68.02	71.02
734336.7083	76.40000001	68.3	70.98
734336.75	77	68	69.79
734336.7917	74.8	67.67	68.75
